"Response","LCZ","R2_adj","Dev_expl","n_obs"
"Night","LCZ D",0.0668382351386934,0.07081494865106,1697
"Night","LCZ C",0.261988396968983,0.267517098283149,1242
"Night","LCZ 5",0.186614304752201,0.191779205003556,663
"Night","LCZ 9",0.365916488658229,0.373636875805556,348
"Night","LCZ G",0.0837243490732702,0.119451787189063,156
"Morning","LCZ D",0.066258376080605,0.0705877701657753,1697
"Morning","LCZ C",0.0569618535487787,0.0634949508660382,1242
"Morning","LCZ 5",0.0729261263605931,0.0838824684387472,663
"Morning","LCZ 9",0.156936880511862,0.178087913380009,348
"Morning","LCZ G",0.153436162962227,0.196203847162028,156
"Evening","LCZ D",0.102002722022644,0.106254805543384,1697
"Evening","LCZ C",0.102636111651878,0.108341992081316,1242
"Evening","LCZ 5",0.064291296865086,0.069167882019092,663
"Evening","LCZ 9",0.14924769539452,0.165010168593646,348
"Evening","LCZ G",0.283654277336298,0.317138720992393,156
"Average","LCZ D",0.100062889227418,0.103436279429245,1697
"Average","LCZ C",0.108713239400243,0.115852986501325,1242
"Average","LCZ 5",0.116332527518877,0.125844010986476,663
"Average","LCZ 9",0.269410162584436,0.286864084870523,348
"Average","LCZ G",0.165981339786378,0.205304095778696,156
